,Tweet Text,# number,Medical relevance,X,Does X cure cancer,Unnamed: 5
1359,@POTUS could make $1000 bills rain from the sky and find the cure for cancer and the #Leftists and #FakeNews would never give him any credit! #PJNET,2,no,,no,
1360,"I like when people give their donations at #AGDQ2018 and are like ""let's find a cure for cancer once and for all"" and the lady from the prevent cancer foundation was getting interviewed and she's like ""that's not really what we do"" lol",2,no,,no,
1361,"@CherCooper2 @LeslieDye4 @realDonaldTrump We can cure the cancer if we work together. The left are squirming because they are being exposed, and so are the corrupt on the right. We Demand #JusticeForAmericanCitizens @realDonaldTrump @GOP @HouseGOP @SenateGOP",2,no,,no,
1362,@shoeplexus ?????? I just supported CURE Childhood Cancer Association and their cause. Join me and help make an impact. https://t.co/jeVejyMEU9,2,no,,no,
1363,"U.S. Supreme Court rules in favor of pro-life groups that counsel pregnant women to make choices other than abortion, invalidating a California law requiring them to prominently post information on how to obtain a state-funded abortion. A WIN for PRO-LIFE!! ? https://t.co/XoUYDXMo04 a few weeks before this little tyke was born he could have been legaly murdered what if he grows up to cure cancer we dont know and cant know the real cost to humanity when babies are aborted https://t.co/tnOsQPuzrU",2,no,,no,
1364,"Karma is real tho Messi scored against our ""19"" year old Uzoho ? and was celebrating like he found a cure for cancer. Now a 19 year old Mbappe has crushed his World Cup dreams. Brilliant!",2,no,,no,
1365,Thank you @AmericanCancer for all you do in the fight against #cancer and having me to speak today at such an incredible event. The cure to cancer is within our reach. #Saturday #RadsHaveAFace https://t.co/Xsn50WNQ7A,2,no,,no,
1366,"Stopped in to eat dinner at Famous Dave's in Hermitage, and look what I found! They are our In-Kind sponsor for the food at the Walk every year. Thank you, Famous Dave's, for everything you do to help us with our mission to cure cancer! https://t.co/Kf3iLoyDGP",2,no,,no,
1367,Scientists and medical professionals working hard to find a cancer cure are one big step closer with the recent remarkable success of... https://t.co/QxY1peN0eg,2,no,,no,
1368,"The Sea Dogs and @ACSNewEngland have teamed up to help fight cancer! Make a pledge towards every base hit that the Portland Sea Dogs make on Sunday, June 24th and help us find a cure - one base hit at a time! Every dollar counts, every hit matters! https://t.co/6w7ydEXeRj",2,no,,no,
1369,"President Trump could find a cure for AIDS, CANCER, and Lou Gehrig's disease and it still wouldn't be enough. He could win the Nobel Peace prize, bring about world peace, and fix hunger and homelessness and it still wouldn't be enough. Haters gonna hate. That's what they do...",2,no,,no,
1370,"If Trump announced a cure for cancer and heart disease, the democrats would denounce it as adversely effecting minorities and liberals! There is just no dealing with lunatic democrats so full of hate for our country! Just vote Republican this year to minimize their damage. https://t.co/abpoSY68pn",2,no,,no,
1372,RT @MisterGolightly: I can be a sexy doctor and cure some sexy cancer https://t.co/cURQt7tbVG,2,no,,no,
1373,"Also I think it's useful to separate the arguments for medicinal and recreational legalisation. Campaigners often deliberately lump them together, which is a little disingenuous as the case for medicinal legalisation is far stronger. It annoys me when unwashed stoner bores hop on the medical bandwagon and start telling you it‰Û¡ÌÝå»ll cure everything from cancer to a cold. Please don‰Û¡ÌÝå»t, you‰Û¡ÌÝå»re just damaging the cause. https://t.co/Cw2WHUOQaP",2,no,,no,
1374,"@briannekimmel @jazzayers That‰Û¡ÌÝå»s not a lie he‰Û¡ÌÝå»s telling himself - he seems quite grounded in reality. Some people are solving problems and some people are not. Let‰Û¡ÌÝå»s not let ourselves off the hook - if you have the skill, capacity, access and ambition to cure cancer, what are you doing two dotting?",2,no,,no,
1375,Robert prepping for his ride to conquer cancer tonight stops by Vaudreuil for a visit !!! Robert WII are so proud of you for making a difference to fight this and help find a cure ?????RIDE LIKE THE WIND ! https://t.co/5wKBHdHlf1,2,no,,no,
1376,"There's still time to join #TeamCureBrainCancer at the iconic Sun-Herald @City2Surf! By joining the team, you will receive a FREE 2XU running singlet to wear as you run to help find a cure for brain cancer. Register now and start fundraising today ?? https://t.co/L7UJ9VW6dT https://t.co/xlHDuvz0TM",2,no,,no,
1377,Steve Jobs dying of cancer was a sad moment because it confirmed that there was no cure for cancer that was only exclusive to the elite https://t.co/I7hDFUmpBg,2,no,,no,
1378,Cancer TREATMENT makes 250 BILLION dollars a year... The cure for cancer will NEVER be released. It‰Û¡ÌÝå»s the unfortunate reality of humanity... https://t.co/WIhbrPwRVu,2,no,,no,
1379,"Haters gonna hate no matter what. You can literally cure cancer, save the planet from an alien invasion or give everybody a million dollars AND THEY STILL GONNA HATE!",2,no,,no,
1381,Just cuz #Drake album is good don‰Û¡ÌÝå»t mean he won. If you get ur ass beat and cure cancer the next day. We‰Û¡ÌÝå»ll give you a noble bell peace prize and still remind you about that ass whipping #scorpion #ScorpionSZN #fOn,2,no,,no,
1382,Draw your neighbor and your friend discovering the cure for cancer,2,no,,no,
1383,"@PAUL_C__ @alexmassie Nice words Paul, but it‰Û¡ÌÝå»s the usual nasty idiots who would still hate the SNP if they developed a cure for cancer. We are however working on a cure for vile,nasty, vindictiveness and you should see them mellow in the future ?",2,no,,no,
1384,"Hey, if you don't have time to spend 4 months paddling down the Missouri River yourself, then how about supporting someone who does and is‰Û¡ÌÝÌÒall to raise money to fund research to find a cure for childhood cancer. Together we can! https://t.co/8V3HC0Rn24",2,no,,no,
1385,@andersonala45 Tell me how someone who tries to cure cancer should make the same as someone who moves a tube of cream into a box and then we will talk. Low skill workers don't slave away for money. If they did they would have money like construction workers or energy workers.,2,no,,no,
1386,@JarrodTheLord @YoungGarBear Big Pharma and the Government got the cure for cancer locked away somewhere so they can make $$$ off sick people,2,no,,no,
1388,"@MadMoneyOnCNBC @jimcramer Bravo Jim, the voice of reason. The hysteria on the left is mind blowing....Trump could cure cancer and walk on water and he'd still be villified",2,no,,no,
1389,The malware and other bad guys are brilliant! No doubt about it. Imagine how different the world would be like if they focused their brilliance on ... Finding a cure for cancer Alzheimer's disease Heart disease Poverty RTBraley https://t.co/9Zyt29lipK,2,no,,no,
1390,"Y‰Û¡ÌÝå»all just wait when I become mentally stable, stop depending on guys for validation, get slim thicc, find the loml, go to the moon, find out if Tupac really dead, cure cancer and bring people back from the dead ITS REALLY GON BE OVA FOR YALL",2,no,,no,
1391,"Guess the real ""eminence"" of Jio Institute is that they will teach you how to cure cancer by drinking gaumutra and the superior scientific technologies of Ramayana &amp; Mahabharata times ? https://t.co/t86j3M16BQ",2,no,,no,
1392,"As we pray for a cure for Cancer, we think of our friends who have been taken from us by this disease. It seems to me that more could be done to fight this scourge that takes too many too early. #CharlesKrauthammer's Goodbye https://t.co/7Z3dyQbfqG https://t.co/y1CAEDFEsx ?Hail Mary, Full of Grace, ?The Lord is with Thee, Blessed is the fruit of Thy womb, ???JESUS???. Holy Mary Mother of God, Pray for @krauthammer now and the hour of his death. Amen? https://t.co/MnM36KKkfh",2,no,,no,
1393,@SenFeinstein Years and years ago I put forth the notion that there was a cure for cancer and other life ending diseases. Each stopped in its tracks by one gov't agency or another. Why? Population control. Have things really changed all that much now? Are the reasons any different&gt;?,2,no,,no,
1394,"there will never be ‰Û¡ÌÝÌa cure for cancer‰Û¡ÌÝå. there are hundreds of types of cancer, all different diseases. beyond ‰Û¡ÌÝÌthe existence of cancer cells‰Û¡ÌÝå they‰Û¡ÌÝå»re totally different, with separate causes, locations, symptoms, + treatments. curing something at the genetic level is fucking hard https://t.co/5TgukfKA2h",2,no,,no,
1395,"@skyrocketkday @ccwaviator @charliekirk11 Hey Dummy If guns are no.11 on the list and don't even make the top ten for deaths in America, why aren't the fricking Dems and Libs crying more about finding a cure for cancer or ending Abortions instead of crying and whining about guns That supposedly have a mind of their own!",2,no,,no,
1396,@ForTheLifeOfTae @JarrodTheLord @Ayee_Ayanna Please what research and evidence do you have that the cure for cancer was known and suppressed. And I‰Û¡ÌÝå»m not talking about a YouTube video. What trusted newspaper printed this evidence? What scientific journal reviewed the studies?,2,no,,no,
1397,RT @bty_ukwildcat: @StefanMolyneux @SkeeterPence He could cure cancer... and they'd hate him,2,no,,no,
1398,"@RyanAFournier Trumps hair could cure cancer and they would say Obama must have left his shampoo at the WH. Some new ""scandal"" will be all over the fake news, instead of this",2,no,,no,
1399,#ARMYHiveStreamingParty is the purest thing I've ever experienced. Beyonce and BTS together can cure cancer and other diseases/illnesses and bring world peace ????,2,no,,no,
1400,"@AndrewCMcCarthy Trump could have nominated Barack Obama and the left would have found a reason why that was an example of dictatorial overreach. Trump could cure cancer and tomorrow's headlines would read: ""Millions Die Before Trump Acts.""",2,no,,no,
1402,"Cancer is too complex of a disease to have a single cure that works for everyone so my Master‰Û¡ÌÝå»s degree in Cellular and Molecular Biomedical Science, my thesis on Cancer Immunotherapy, and I would all like for y‰Û¡ÌÝå»all to stfu with the conspiracy theories. https://t.co/zgIytccgnb",2,no,,no,
1403,"@Thelonerking @deji14_official @smallkewlhuman @Manesti336 @Array_OTB @zoellaa_ The book says believe in prayers and faith healing. Many Africans have died and are dying from the lies of faith healing. It has turned healthcare into a nightmare as you have doctors who believe in faith healing. Another point why Christianity regresses Africa What an ABSOLUTE LIE ! Christians brough civilization to Africa, ended years of Human Sacrifice and Cannibalism, and Slavery - and healed many through Christ. Sincere Christian Prayer can cure any ill - even terminally ill Cancer patients have recovered completely. https://t.co/M4URH63Ntn",2,no,,no,
1404,"@JeffHar18906046 @TrumpsWolf5 @DaniScotchIrish @chipcook4 @kellyannegoebb @MeltSnowFlake @Hell_HasCome @MerrilyCox1 @cynthia56001733 @leesuzanbaker @RobertDumaine @STSTWO @SandySuddeth @JournoJenkins67 @DenisNelson5 @amvetsupport @gregthedoughboy @PhillipBoldt @MacAod @Shannonjwtbh @joanne48640679 @Kevin84500028 @LeopoldJody @GillMash4 @50YearOldGamer @ThomasD726 @james_peluso @shrekthepunk @sb_bulldogs1 @Chihuahua1900 @oathkeeper1985 @realeftypickit @PendingVictory @sgriffin_87to98 @Chef_Jesse_T @roddy202620 @kelly_ramona @DCarver1018 @cheflayla @KKatMiss @Desertfox74 @Irishbillyclub @WWalshNJ @iwilllatermaybe @APGsMom @SIMikeSr @WendiDavies @rynlds56 @thatcyberchick @Brown43Doug No jiffy just you fool just you Jiffy I hate this playground stuff Also Jiffy I attacked and ridicule people who try to cure cancer and I post shit like this Classic lib dem, we will not suffer your shit anymore, I‰Û¡ÌÝå»m not taking my foot off the gas https://t.co/eKjX6mU5Rt",2,no,,no,
1405,@GOPChairwoman @realDonaldTrump Trump is a cancer. He and his minions are infesting all the Republican cells. If a cure isnt given soon there will be no sign of what once was and the party will be on life support.,2,no,,no,
1406,"@busywriting @DJTChooChooBaby @krystal337 @therobbieevans @racetrackandy @brithume No I think u watch too much mainstream media and the talking points are permeating your subconscious. Trump could raise the dead, cure cancer and eliminate poverty and libs would still spout talking points. #menareevil ???",2,no,,no,
1407,"@Republi03686813 Don't worry, you're in good company cuz God sent two young people to grow up and be educated and cure cancer, but they were deported too BIGLY SAD ? https://t.co/BDNP7AB3Qx",2,no,,no,
1408,"Y‰Û¡ÌÝå»all might think I‰Û¡ÌÝå»m crazy , but the government really think they god. Like they are the ones that are killing everyone, the government also knows the cure that cancer and etc , I‰Û¡ÌÝå»m telling y‰Û¡ÌÝå»all ! It‰Û¡ÌÝå»s real outchea, get deep into your studies.",2,no,,no,
1410,He look like he already knows that 9/11 was an inside job by the government and that it‰Û¡ÌÝå»ll never be a cure for cancer because the medical industry brings in too much money https://t.co/5LWJrjcl4m,2,no,,no,
1411,@seanhannity President Trump could find a cure for cancer and the left would complain about the people he would put out of work in the medical industry.,2,no,,no,
1412,@TamaraYNOT @ungemarg @sksnky @MissWendy39 @SenSchumer @GOP @CNN They dont understand sarcasm. I listened to the whole interview on the radio and he obviously joking. Trump could cure cancer and the left would be pro cancer so quick it ain't funny,2,no,,no,
1413,RT @JsparrishS: @foxandfriends Trump could literally cure cancer and the media and left would find something wrong!,2,no,,no,
1415,"@RyanAFournier Yes, even if Trump picked Stalin, Marx, Engels, Lenin, etc‰Û¡ÌÝ_ the PansyLeft Sisssies would still fight him. If Trump discovered a cure for cancer, democrats and media would accuse him of putting doctors out of work",2,no,,no,
1416,1 of 4. We are really going to miss the friendship of Henry Butler (@pianobutler). May he rest in peace. We thought you might appreciate these words from Henry from the liner notes of the first of his three albums we released. https://t.co/BRJssHyoVB Listen up. Colon cancer is one of the most prevalent forms of cancer. With early detection it can have a very successful cure rate. That means getting periodic colonoscopies. Ask your Dr. RIP Henry and my wife. https://t.co/Lru1vUYxMr,2,no,,no,
1417,"@JamesKosur @JDCurriewriter Congrats on the dumbest tweet of the year. If @realDonaldTrump had a cure for cancer, you would say, why doesn‰Û¡ÌÝå»t he focus on heart disease. Guys like you is why he won in 2016, and will do it again in 2020. Try speaking the truth and you will get more positive comments.",2,no,,no,
1418,In my opinion the lowest form of sub-bacteria life on earth is ‰Û¡ÌÝÌprogressive‰Û¡ÌÝå liberal Democrats. Obstruction of everything pro America!! Trump could cure all cancer and they would blame him for the decline in chemotherapy drugs!!,2,no,,no,
1419,"16-year-old Jeremiah Thomas, who is battling cancer, has used his Make a Wish to ask for an end to abortion. Thank you, Jeremiah, for your beautiful life, and for inspiring so many. https://t.co/buMZMGgyAY They said he used his wish in a ‰Û¡ÌÝÌselfless way‰Û¡ÌÝå idk mann it‰Û¡ÌÝå»s pretty selfish to try and use YOUR religion to controls SOMEONE ELSE‰Û¡ÌÝå»S body... coulda wished for a cure https://t.co/TYX3hYnfa8",2,no,,no,
1420,"@thehill If Obama found a cure for cancer, a way to end poverty or solution to world peace...Trump would reverse it all! #resist and #Impeach",2,no,,no,
1421,"@KimberlyISYMFS @CTFletcherISYMF Hate is a waste of emotion , energy and of a productive life you can learn so much from so many different walks of life . Hate is a cancer that Love is the only cure for !!! Love Everybody",2,no,,no,
1422,"I just told the Houston chronicle that if Obama and a group of doctors found a cure for cancer and Alzheimer's, he'd write an executive order to revoke it........ https://t.co/QHWaS031mG",2,no,,no,
1423,"In my lifetime, I expect to see a cure for cancer. Tonight, I‰Û¡ÌÝå»m praying for those who have passed, for those who are fighting, for those who have survived, and for those who are working to eliminate this unnecessary disease.",2,no,,no,
1424,"The price-to-fair value ratio key to investing, but our team was excited about Merck's $MRK #Keytruda results in non-small cell lung cancer. Hope we can continue to make strides in prolonging life with those with #cancer and maybe find cure soon. https://t.co/tVj1EknNzJ https://t.co/u8lbF263MR",2,no,,no,
1425,"If President Trump found a way to give all illegals cancer you'd spin it into a victory. Then if he withdrew from his fiendish plan at the last minute, you'd say he cured cancer. That's how it REALLY is. https://t.co/eC8zY7Y0hI If President Trump found a cure for cancer the liberals and Democrats would find something wrong!! Too many hateful people in our country. https://t.co/SDpXSE9qFc",2,no,,no,
1428,RT @Gamiliell: you should go to med school and find the cure for cancer #nopressure #FunnyThingsDadsSay,2,no,,no,
1430,@Still_Stubborn @benshapiro is nevertrump will always be nevertrump Trump could cure cancer and he‰Û¡ÌÝå»d bitch that he was putting Doctors out of business such a nasty little ball of hate,2,no,,no,
1431,"yall:okay but that baby could be the cure for cancer,that baby deserves to live he‰Û¡ÌÝå»s innocent yall,when innocent children are currently getting taken away from their parents and put in those camps:Not my kid Not My Problem AhAhA These Kids Arent Innocent They Came Here Ilegally",2,no,,no,
1432,@ConservaMomUSA @ellimayradrep @Acosta Anything for the haters to hate! The @FLOTUS and @POTUS could cure cancer and people would still create a reason to blame and shame! #realtalk ?????? Her jacket?! Really?To much wasted time! Focus on #america coming 1st! #teamtrump Focused on cleaning up after @BarackObama,2,no,,no,
1433,@Bobo_697 @DocWashburn @austinruse @rightgoddess @CNN @cnn feelings are facts and science only means something if it discredits a potential cure for something like cancer or diabetes to get those shares up. Kinda like their headlines these days. WYA @donlemon ? #takemehome,2,no,,no,
1434,@Picard_M_Maker @Ez4u2say_Janis @Mikeggibbs @dontevenblink Justin Trudeau could cure someone‰Û¡ÌÝå»s cancer on 5th Avenue and the American right wingers would still hate him.,2,no,,no,
1435,@realDonaldTrump The only adult in the room Pompeo. Shame what you did in summit with our Allies shame on you. You can have the cure for cancer and you will never be a hero. No matter what you do. You are what you are absolutely nothing.,2,no,,no,
1436,"Retweeted Meghan McCain (@MeghanMcCain): This last year has been the hardest of my life - to all the cancer researchers, doctors, nurses and caregivers who are so selflessly dedicated to finding a cure and healing patients, you are my heroes and I am grateful for the hope a‰Û¡ÌÝ_",2,no,,no,
1437,"Why do we screen for Barrett‰Û¡ÌÝå»s esophagus but not early gastric cancer. There are actually more cases of gastric cancer in the US than esophageal adenocarcinoma. Perhaps we should reconsider, especially in those at increased risk. https://t.co/63hcG0je4m A very important question! Targeted screening is proven to decrease stage at presentation and ability to cure the cancer, potentially cost effective in low-moderate risk populationshttps://www.ncbi.nlm.nih.gov/pubmed/24386314 @mygutfeelingca @CancerCare_ON https://t.co/aotquJPxMF",2,no,,no,
1439,"@ron_ronka Yes, I noticed that. It's non-stop. Russia could cure cancer and fix all of the world's ills, yet these idiot trolls would still be lying, smearing, etc.",2,no,,no,
1440,Waking up to all the #MSM trashing the history that was made yesterday #TrumpKimSummit and the comparisons to the #IranDeal is laughable. The @POTUS could literally cure cancer and would be hated for it!,2,no,,no,
1442,#GarethSouthgateWould Cure Cancer and Solve World Hunger then not even take any of the credit would just say ‰Û¡ÌÝÌThe Lads did well‰Û¡ÌÝå #WorldCup18 #England,2,no,,no,
1443,@jglidden007 @mattbrichardson @palomacreative @JohnBrennan @POTUS Instead of focusing on the negative focus on the positive... and of course you see no positives.... he could cure cancer and you would say ‰Û¡ÌÝÌwe have a right to have cancer‰Û¡ÌÝå you never trumpers are pathetic!!!!,2,no,,no,
1445,@americafirst181 They wouldn't be Happy if @POTUS gave Everyone in America a Million Dollars and made sure Everyone had a house to live in. Then if He Cure Cancer and gave Everyone a Trump Private Plane The Left and Rino's would Throw a Fit because He didn't Fuel the Plane. https://t.co/pmKMekSJ9O,2,no,,no,
1446,Democrats are anti-America and pro illegal immigration. They support and protect gangs like MS-13 while sending hard working American‰Û¡ÌÝå»s into poverty. Democrats are cancer and a cure needs to be found before they completely destroy the US,2,no,,no,
1447,"#LGBTActionPlan this is an important step for the uk to become equally diverse and a place of love. being gay, bi or anything other then straight is not curable as there isn't anything to cure. if you want to cure something work on Hiv research or cancer.",2,no,,no,
1448,@BrotherJulius83 @rex_rexchapman @NicolleDWallace Saving the auto industry? Staving off the Great Depression? That‰Û¡ÌÝå»s hilarious. He did GIVE millions of people healthcare at a huge expense to us all. Ask any medical professional how they feel about Obamacare. President Trump could cure cancer and somehow you‰Û¡ÌÝå»d credit Obama.,2,no,,no,
1450,@nancygolliday @MrDaneCW @KathyDutton16 @Jordan_Sather_ So it looks like he was working on a nontoxic vaccine and the cure for cancer. DEAD MAN WALKING.,2,no,,no,
1451,"@MFS001 @IsraelMatzav Don't make Dr's or engineers, don't make scientists who might cure cancer. Don't make moms who will raise children who build and grow Palestina, don't make industrialists who will create wealth for all. Make fetuses (just 'clumps' of non human tissue) who will die killing Jews https://t.co/Go8pmR6fP8",2,no,,no,
1453,Draw your dog and your mom discovering the cure for cancer,2,no,,no,
1454,RT @NightSKY4409: @fordprefect241 @CathyCMAGA He can cure cancer and they‰Û¡ÌÝå»ll find a way to attack him.,2,no,,no,
1455,The Cure - Friday I'm In Love https://t.co/Kd4k44nFkc via @YouTube #NowPlaying I don't care if Monday's blue You get cancer And you're fucking mum too How are the Cure classed as punk and the Stranglers aren't???????!!!! @gash1965,2,no,,no,
1456,"My 87 year old grandmother just came up to me and said, ‰Û¡ÌÝÌthere‰Û¡ÌÝå»s a cure for cancer you know, they just won‰Û¡ÌÝå»t let it come out‰Û¡ÌÝå... stay woke nann.. stay woke??",2,no,,no,
1457,"@Thomas1774Paine I think it is sickening he is wasting a seat in the senate, especially when he knows he is terminal. Unless there is a cure for cancer and only the elite gets it. Just like our justice system, elites get off scot free.",2,no,,no,
1458,"Illinois GOP Gov. Bruce Rauner is likely to lose in November. He inherited a mess &amp; his ability to fight the Madigan cartel was always very limited. No matter what happens in November, this Janus victory is one helluva legacy. A major blow for freedom &amp; against gov't unions. Truth! The Madigan crime syndicate is truly running the entire state of IL. Madigan's Chicago crime mob is like an malignant tumor. And there's no cure for this cancer! https://t.co/MiF681YAaj",2,no,,no,
1459,"The Susan G. Komen Ozark Race for the Cure is one of my favorite events in our area! This year‰Û¡ÌÝå»s event raised more than $600,000 for the breast cancer movement. Already looking forward to next year! #BroadcastGood https://t.co/WxzL3DQunp",2,no,,no,
1460,"@PoliticallyRYT @Donald85851183 @realDonaldTrump Potus could cure cancer and Nancy would come out and say ‰Û¡ÌÝÌPresident Trump is putting doctors out of work‰Û¡ÌÝå she hates Trump enough to want the USA to fall, just to be elected speaker again. Can‰Û¡ÌÝå»t stand the loss of power!",2,no,,no,
1461,"@phattuadmi1 CyberKnife Surgery facility for cancer is available in JPMC Karachi and it is totally free of cost. Even at SIUT Karachi, cure is 100% free of cost. Cure at Indus Hospital Karachi is also 100% free of cost. Karachi is a merciful city. @PunctureNews @ranjha001 @Xadeejournalist",2,no,,no,
1462,"Over $1,000 was donated to the Colorectal Cancer Alliance &amp; A Kid‰Û¡ÌÝå»s Brain Tumor Cure Foundation on behalf of Alexei Korolev and Christina Issa through Mrs. Rosenthal‰Û¡ÌÝå»s and Mrs. Dasti‰Û¡ÌÝå»s Podcast Charity Challenge. https://t.co/JpP9YYtgLT",2,no,,no,
1463,@LibertyGun1776 @armandodkos @neeratanden She could have found the cure for cancer and walked in water too ... she still helped install Trump. Mother Teresa herself would‰Û¡ÌÝå»ve lost sleep over that,2,no,,no,
1466,RT @imeadeadollar: Trump could cure AIDS and the left would bash him for not curing cancer,2,no,,no,
1467,Have you seen Trucking for a Cure on their Pink Tour this summer? Learn how it helps run the convoys in Prescott and Woodstock. https://t.co/9FQuxrxa3A @truckforacure #cancer #convoys #truckconvoys #trucking https://t.co/2WY9EZXMLB,2,no,,no,
1468,"@pabgirl @THCVibes420 @jamesmarks176 pabgirl wrote ""didn't pay one dime to view it"". Even so, it's a work-of-fiction created by scam-artists: they're falsely claiming they have the cure for cancer, Alzheimer's and other serious diseases, and will tell you all about it for $147 ... https://t.co/D2LUiLN3H7",2,no,,no,
1469,"@SandySWood58 @romyreiner I know right! Like Obama did all this shit to destroy America and turn it into a globalist shithole with opioid crisis and child sex smuggling operations running wild, ""losing"" track of $500 mil worth of weapons to cartels, yet you probably still think he piss can cure cancer.",2,no,,no,
1470,Sponsors want to put the minimum amount of money and expect maximum gain. Put in 1000 and voila! Cure for cancer! Sadly that's not how it works. And that's mainly why cancer research (or most research for that matter) is underfunded. https://t.co/7PLQkXlJ9z @chrrypies @SERGIOTH3RD @RobGPDX16 @416sfavorite @CBSNews @realDonaldTrump I was applying for a part time job at a fucking FOREVER 21 &amp; there was a guy who was a published leukemia researcher who was applying bc his last job in a lab paid minimum wage. So what even is this skilled/unskilled logic they speak of? F21 paid better than cancer research lol,2,no,,no,
1471,"Want to know where you dollars go when you support a ""pink"" nonprofit? Your support for Race for the Cure sends 25% to fund research and the rest stays here at home for local programs. https://t.co/IFcjBINWkf to fight breast cancer here at home. (+ earn a gift as a thank you!) https://t.co/6NxwsB3GNA",2,no,,no,
1472,"Yesterday the #Democrats cried #FamiliesBelongTogther. Today, they‰Û¡ÌÝå»re over that &amp; now they don‰Û¡ÌÝå»t want anyone who broke the law 2 be detained. #WakeUpAmerica, their want #OpenBorders. The @POTUS can cure cancer and they‰Û¡ÌÝå»d cry pro cancer cells. #LiberalismIsAMentalDisorder #VoteRed https://t.co/22TUxg3IWR Democrats care about POWER only... HATERS are the only BASE they have... PROBLEMS and issues are only valuable if HATRED ensues... CIVIL WAR IS THEIR ENDGAME! STOP THE HATE... BOTH SIDES... https://t.co/YuFxSfZiMQ",2,no,,no,
1473,"@johncusack ""Donald could cure cancer and liberals would complain"" *locks 20,000 kids in prison camps* ""libs are using the children as political pawns"" *nukes the planet* ""THIS IS ALL bARACK HUSSEIN OBAMA'S FAULT!""",2,no,,no,
1474,Draw your dad and your self discovering the cure for cancer,2,no,,no,
1475,Pretty sure Trump could cure cancer and find a way to reach world peace.....and people would still find something to bitch and complain about.,2,no,,no,
1476,when she got lost in the supermarket in singapore ? the noise she makes when she finds chaeng and tzuyu could cure cancer https://t.co/XxKEjBhBX2,2,no,,no,
1477,"America still has a problem, it's like a plague which leaves devastation in it's wake and spreads to infect. Prognosis: cancer known as Liberalism, the map shows blue areas where America is suffering, let's cure her in November! https://t.co/ZndWkXuzlT",2,no,,no,
1478,I want to live my life as the most racist homophobic bigot out there and then find the cure to cancer just to piss off this girl I know but I'm afraid she'll figure out where I live and castrate me while I sleep,2,no,,no,
1479,@LP62O @ForTheLifeOfTae @HightopDavid @JarrodTheLord @Ayee_Ayanna You‰Û¡ÌÝå»d make more money releasing the cure and cancer couldn‰Û¡ÌÝå»t be cured universally that easily,2,no,,no,
1480,@angelicjane03 @VickieDavitt @abcdiagnosis @Nursedave34 We currently don‰Û¡ÌÝå»t have a bell but it‰Û¡ÌÝå»s being mooted primarily by early stage bc patients - I think it‰Û¡ÌÝå»s part of the pinkwash around that cancer and of course totally ignores the reality of many other types were cure is never on cards &gt;,2,no,,no,
1481,"If another president could've secured this deal, there would be such high praise from that side but they hate to give Trump any kind of credit. Trump could find a cure for cancer and people would complain that he's putting doctors out of business now ? https://t.co/8x2XTwx6Mj",2,no,,no,
1482,"Queen Maxima is a strong Lady. Despite the agony of her grave loss, she congratulated the medical community on the accessibility of a center that will help cure and alleviate the pain of many cancer patients. #SpeakUp https://t.co/bLgKOmqsMI",2,no,,no,
1483,The malware and other bad guys are brilliant! No doubt about it. Imagine how different the world would be like if they focused their brilliance on ... Finding a cure for cancer Alzheimer's disease Heart disease Poverty RTBraley https://t.co/62rzwv93WT,2,no,,no,
1484,"We are pleased to announce the release of the Crowds Cure Cancer data set collected at the 2017 @RSNA Annual Meeting: https://t.co/YRufp0XY55. This includes the DICOM images evaluated by crowd participants and their measurements, experience level, and metadata about the scans. https://t.co/9dvgWm4SVn The ""Crowds Cure #Cancer"" was an engaging feature of the #RSNA17 meeting -- it's great to see this data set is now available! #radiology #BigData @RSNA @theNCI https://t.co/uiQjniRoZt",2,no,,no,
1485,Please go hang out with @thenegrosuave as he raises money for Alex's Lemonade Stand to help find a cure for cancer and to help kids who are struggling and fighting through it. hes raised 1300 and is still going strong. https://t.co/1YR4HTqpXH Go and bring hope to kids.,2,no,,no,
1486,@SonOfSunTzu @k8em0 I see it as an instance of The Starfish Story. https://t.co/8bmT73V7hr Put otherwise: We may not cure Cancer in our lifetime. We may even see more patients as the population grows. But the care we provide for those patients matters a great deal to them and all who know them.,2,no,,no,
1487,"Hayleys the most indecisive person ever. If a doctor could cure her of Cancer I'm sure she would turn around and day she's just not sure, she's not going to rush anything! #LoveIsIand",2,no,,no,
1488,An American evangelist who calls for guns to be carried in church and a self-proclaimed ‰Û¡ÌÝÌmiracle healer‰Û¡ÌÝå who insists that he can cure cancer were granted permission to preach at a rally event in Edinburgh https://t.co/8AT9NyTyxV,2,no,,no,
1489,@msscha2 @MattJonesRadio @benshapiro Trump could cure cancer tomorrow and people would say why didn't he do it sooner. This is how it will be until he is no longer president in 2024.,2,no,,no,
1491,@SenFeinstein It's immoral for Latino nations to fail to stand on their own and take billions in foreign aid each year from us that could otherwise secure our schools or fund a cure for cancer. How long do we have to carry them?,2,no,,no,
1492,RT @ChicagoInno: .@abbvie and Alphabet-Backed Calico Spend Another $1B to Help Cure Cancer https://t.co/A7tqWrWtrv,2,no,,no,
1493,I don't care how long you've been on Twitter. I don't care how many followers you have. I don't care how important you think you are. I don't care how big your clique is. So unless you're tweeting the cure for cancer you can shove your high horse right up your ass.,2,no,,no,
1494,Draw your cat and your dog discovering the cure for cancer,2,no,,no,
