,Tweet Text,# number,Medical relevance,X,Does X cure cancer,Unnamed: 5
1191,"Another cancer survivor using natural cures an oncolonist has no idea about. Poison cut or burn is no way to cure any disease, even if you survive the barbaric treatment the stats say it‰Û¡ÌÝåÁÌÎÌÌ´åÈs coming back to get you harder? https://t.co/wVFFeLt8Aa I can feel that someone out there was recently diagnosed with Cancer. Dont let those MDs - who are all Atheists who believe in Evolution - make you take toxic chemicals and deadly radiation. Sincere Prayer and Natural Cures can overcome any disease! https://t.co/IuXRcp1ubI",2,yes,natural cures,yes,
1198,"I hate to remind my oncology colleagues of this point, since their rhetoric is as if they have forgotten These are not game-changer drugs (with exception of imatinib CML) by the way Most of these cancer patients, will die of these cancers It makes me sad https://t.co/dlQLAGfvyQ I am a patient/physician living with stage 4 EGFR+ lung cancer for over 2 years. Targeted medications were GAME CHANGER for me. I am WELL ,stayed productive and have a great quality of life. Isn‰Û¡ÌÝåÁÌÎÌÌ´åÈt that a GAME CHANGER? If no cure yet , make it chronic with combinations! https://t.co/JlO3M5L6c7",2,yes,targeted medication,no,
1207,"@MeghanMcCain THERE! ARE! PLENTY! OF! NATURAL! CURES! FOR! CANCER! ""There is no cure for cancer. The acceptable treatment is chemotherapy, radiation."" - LIE AND DAMNED LIE FROM THE DEATHCARE INDUSTRY! CANCER WAS NON-EXISTENT EARLY 1900'S! BRING BODY PH JUST ABOVE 7 AND CANCER WILL DIE!",2,yes,natural cures,yes,
1220,Alkaline blood aka alkaline diet. Theres no room for any disease unless you have acidic blood. Thats why they push dairy and meat so tough saying it‰Û¡ÌÝåÁÌÎÌÌ´åÈs healthy when really it‰Û¡ÌÝåÁÌÎÌÌ´åÈs poisonous https://t.co/TqG4vU8RLB Unpopular opinion/theory: there‰Û¡ÌÝåÁÌÎÌÌ´åÈs no way that there‰Û¡ÌÝåÁÌÎÌÌ´åÈs not a cure for cancer out there that the government is keeping from us in order to put more money into pharmaceuticals and treatment needs for the illness.,2,yes,alkaline diet,yes,
1221,"@bparent64 @MountSinaiNYC You are foolish. A holistic approach to cancer works best including nutrition, medication, spiritual, and other alternative approaches. There are courses of chemo which cure particular cancers. BTW, in case you are not smart enough to realize it, life results in 100% death.",2,yes,"nutrition, medication, spiritual",yes,
1233,"@drpoojaa I kinda feel sad when someone having the prefix Dr. to their name thinks their so called conventional treatments work . If that was the case we wouldn't be finding a CURE for Cancer today. And the one who suggested Cow Urine, yes, it works because it has Curcumin.",2,yes,cow urine,no,
1254,Also hurts me when people say that natural remedies will cure cancer when I watched a woman use nothing but these remedies for over a year and then die an absolutely miserably painful death :(,2,yes,natural remedies,no,
1271,RT @jksmith34: How #nanotechnology research could cure cancer and other diseases https://t.co/7C98EncvpH,2,yes,nanotechnology,no,
1283,"No horrible side-effects? Death is a terrible side effect and so many died during the trials. Come back when peer reviewed data shows it cures, regulatory approved worldwide and available to all. It‰Û¡ÌÝåÁÌÎÌÌ´åÈs not all about the money and spin. We need truth, openness and honesty + a cure https://t.co/aT8H6jMREa DCVax-L for GBM shows truly amazing efficacy and guess what, no horrible side effects. Read about Kats story. #braincancer #glioblastoma #GBM #DCVax #neurosurgery #neuroscience #cancer #CancerResearch #RTT *** Spread the word - retweet *** https://t.co/9UJd9J06kL",2,yes,DCVax-L,yes,
1292,"I found yesterday that someone in my family had been forwarded a quack ""expert"" thing which claimed that there is literally no need for medicine to cure anything and that even Cancer can be cured with ""healthy living"".",2,yes,healthy living,no,
1304,RT @flimsin: Positivity can‰Û¡ÌÝåÁÌÎÌÌ´åÈt cure cancer ‰Û¡ÌÝåÁÌÎÌÌÎÌ¥ and neither can fighting talk @thepooluk #thepool https://t.co/TQChjQ6WI7,2,yes,positivity,no,
1310,@OgaTimi @asemota Currently I have been using it to cure my mums pelvic cancer for the past two months and guess what??? Cbd oil does everything and cures everything... I don‰Û¡ÌÝåÁÌÎÌÌ´åÈt know why weed hasn‰Û¡ÌÝåÁÌÎÌÌ´åÈt been legalized till now,2,yes,cbd oil,yes,
1315,"Young calf crying wondering why the mother is not responding. The mother is dead due to poaching. How senseless are we. The horn of the rhino has no value. It will not make your penis grow, cure cancer, or stop you from having a hangover. Poaching is greed and nothing more. https://t.co/Sb2V7YFyYM",2,yes,horn of rhino,no,
1328,A documentary about Amelia Powers and her extraordinary experience of using cannabis to cure her brain tumor,2,yes,cannabis,yes,
1338,"While it's not a cure for cancer, yoga enhances physical and emotional wellness ‰Û¡ÌÝåÁÌÎÌÌÎÌÕand brings a peace many patients had thought they'd lost forever. #Yoga #Cancer #YogaCancer #WorldYogaDay #YogaDay @sterlingcancer https://t.co/S8IBcnZ1f1",2,yes,yoga,no,
1344,"I'm following a few cancer blogs &amp; am struck by amount of ppl who comment with unsolicited advice of ""cancer cures"". Believe me if they've got the where with all to blog - they've researched their treatment plan with their expert clinical team. Most tell me its annoying as hell. Absolutely this. St John's wart, milk thistle and cannabis oil aren't going to cure my rare germ cell teratoma. If it was my consultant would have packed me off to Holland + Barrat with a fucking voucher. https://t.co/tNKPvKGh8B",2,yes,"St John's wart, milk thistle, cannabis oil",no,
1347,"Hemp Could Free Us From Oil, Prevent Deforestation, Cure Cancer and It's Environmentally Friendly - So Why Is It Illegal? https://t.co/aPEX76lDxg via @wakingtimes",2,yes,hemp,yes,
1354,I‰Û¡ÌÝåÁÌÎÌÌ´åÈm sorry but I hate when people say ‰Û¡ÌÝåÁÌÎÌÌÎåtell him/her to go vegan!!!‰Û¡ÌÝåÁÌÎÌÌ´å in response to someone talking about someone having cancer. Going vegan isn‰Û¡ÌÝåÁÌÎÌÌ´åÈt going to cure them. You‰Û¡ÌÝåÁÌÎÌÌ´åÈre not a doctor. It‰Û¡ÌÝåÁÌÎÌÌ´åÈs inappropriate and disrespectful as fuck.,2,yes,going vegan,no,
1355,"New experimental cancer cure helping some patients when chemotherapy fails.. There are plenty of heartbreaking stories about chemotherapy failing, but once in a while, that failure can actually have a happy ending. Thats what happened to 52-year-old Ju... https://t.co/CE6pG4X7Fz",2,yes,new experimental,yes,
1356,"@wordbird67 @TakeThatChem And ignoring data that may differ from your stance... That's the same... I call those brain blocks... See the fun part is I'm ok with being from... If you ""proved"" me wrong with b-17 I would have said ok and deleted the meme... But instead you choose to be a troll... R u a lib? https://t.co/ocM4qvgHtL We aren‰Û¡ÌÝåÁÌÎÌÌ´åÈt discussing a political issue, you‰Û¡ÌÝåÁÌÎÌÌ´åÈre posting dangerous misinformation on the internet and I called you out. B17 is not a cure for cancer, it isn‰Û¡ÌÝåÁÌÎÌÌ´åÈt even a vitamin despite the name. You think ‰Û¡ÌÝåÁÌÎÌÌÎåcancer experts‰Û¡ÌÝåÁÌÎÌÌ´å are lying to you? Go to med school. Prove them wrong. I dare ya https://t.co/k2Rgwxa5mt",2,yes,B17,no,
1371,Most cancer is a big LIE told by Pharams and #crookedMDs to push toxi chemicals and unnecesary surgery. Sincere Christian Prayer is 10000% more effective. https://t.co/PdX5164T5j Hoxsey treatment is the cure for cancer. https://t.co/mwPbB1BFvO It is banned in America due to the FDA not approving it but it cured hundreds of people in the past but it is natural ingredients that Big Pharma does not want to exist. Curing cancer = no money.,2,yes,hoxsey treatment,yes,
1380,"???DISGUSTING: Woman drinks her dog's URINE in a horrifying video, while claiming that it completely cleared up her acne - and can also 'help cure cancer‰Û¡ÌÝåÁÌÎÌÌ´å. ???? https://t.co/vWbLbe7yYG https://t.co/WoUp190Xii",2,yes,dog's urine,no,
1387,"Does aloe vera prevent cancer cells from spreading, stop anxiety and depression, cure eating disorders, help stomach problems, aid in endless different chronic pains, help seizures, plus thousands of other things and is still illegal? Nahhh bro...... https://t.co/iC6QFgbTOL You guys are funny. I've never seen so much passion for other plants before. It's like an obsession...its like an....addiction. like aloe vera has medical benefits but you dont for crazy for that do you? It's not because one of them fucks you up and the other doesnt right?",2,yes,aloe vera,no,
1401,What is hibernation or seclusion to cure cancer and other diseases? https://t.co/DXHMyzMnK0,2,yes,hibernation,no,
1409,"I was documenting how this system was always trying to kill me and set me and itself up especially on the date 6 6 6. My girlfriend left me a week later after this police state country messed with me over a bowl of weed I use weed to cure my cancer, but who knows what else?! https://t.co/0Wf8BFpFtk",2,yes,weed,yes,
1414,"Incase you didn't know Human Hibernation could make the world a better place. By shutting down a persons organs we could cure cancer, replace organs and store organs for longer periods. Find out more https://t.co/TEyMxm4R47",2,yes,hibernation,yes,
1426,"#Ayurveda_A_Panacea is the 'Mother of Healing'. St @Gurmeetramrahim Ji tells that the Ayurveda is the first scientific medical branch originated in India. And with the Yoga practices, it becomes a boon to cure cancer, kidney disorders, cardiac arrest, etc. https://t.co/hRCIKYLyuZ",2,yes,"ayurveda, yoga practices",yes,
1427,"looking for Good Stuff? Variety of Top Quality Medical Strains,Hash &amp; canna Oil available!! Overcome your lost of appetite, cure insomnia, pains, Cancer, Anxiety Disorders,Major Depression 100% Discrete Packaging and Safe Delivery is Guaranteed @HIGH_TIMES_Mag @UK_CBD_OIL https://t.co/GGXuzbQXU2",2,yes,"medical strains, hash, canna oil",yes,
1438,Brilliant piece by @storyforgrace on quack Lesley Hutchings who was selling fake GcMAF touted to cure autism and diseases like cancer and HIV. My old interviewee David Noakes is also mentioned. https://t.co/gnFSQBTsCj,2,yes,GcMAF,no,
1441,"@mussavir @azizakhmad @Ali_Madeeh Both trees are very useful. Neem is Azadirachta indica (Azad Drakht of India from Persian). Dhrek or bakain is Melia azadarach. The useful element in neem is azadirachtin (I think) which will one day be the cure for cancer, Alzheimers, Pakinsons, and death. The Miracle Tree.",2,yes,"neem, azadirachtin",yes,
1444,"looking for Good Stuff? Variety of Top Quality Medical Strains,Hash &amp; canna Oil available!! Overcome your lost of appetite, cure insomnia, pains, Cancer, Anxiety Disorders,Major Depression 100% Discrete Packaging and Safe Delivery is Guaranteed https://t.co/9S8XcETiRp",2,yes,"medical strains, hash, canna oil",yes,
1449,Attention !!? Medical science had done research and introduced cancer vaccine Although it‰Û¡ÌÝåÁÌÎÌÌ´åÈs just tested on mice ? in which 90-95% mice shows healing -this thing will give our generation hope of cure Read description .. https://t.co/yLITHhrlWc #medresearch.,2,yes,cancer vaccine,no,
1452,Interesting episode Shreyaji..Being a doc I see cancer patients on a daily basis.Key to cure is early detection and https://t.co/AdWYgazSNS India most cases reach hosp in late stages leading to higher mortality..Hope things change in future @shreyadhoundial,2,yes,early detection,yes,
1464,@carlyebaines This Fungus Could Help Cure Cancer Scientists are mining the DNA-sequence data from mushrooms and mold to find new drugs. https://t.co/93mj3rIQlY https://t.co/o78q0KgZoa,2,yes,"fungus, mushrooms",yes,
1465,@EdvinSoriano Im not opposed to curing cancer w/marijuana but it‰Û¡ÌÝåÁÌÎÌÌ´åÈs literally been in the works for years and everyone think there‰Û¡ÌÝåÁÌÎÌÌ´åÈs a conspiracy to hide the cure when there‰Û¡ÌÝåÁÌÎÌÌ´åÈs ppl in labs working their asses off. What I will say is that I fully support marijuana over opioids to treat symptoms,2,yes,marijuana,yes,
1490,Health Juice Part 2 Diet and Natural Fitness drink Prevent and Help Cure Cancer JC Goes over the health benefits of https://t.co/EUXMuSiDnH,2,yes,"health juice, natural fitness drink",yes,
1499,"The major demand for rhino horn is in Asia where it's used in ornamental carvings and traditional medicine. Rhino horn is touted as a cure for hangovers, cancer and impotence. Science has proven all this to be false. https://t.co/H1d371vpLr https://t.co/GjO6u38dxj There is also no scientific basis for anti-ageing creams, aromatherapy, homeopathic medicine, acupuncture or vitamin supplements but they are all popular in the West and are lucrative industries. Stop discriminating about Asian medical beliefs. We have our own fantasies too. https://t.co/AbMfQ65hUl",2,yes,rhino horn,no,
1501,"Vegans tried to tell my aunt that going vegan would fix her kidneys and take her out of kidney failure. She listened and it made her kidney function get even worse. https://t.co/YAZcOeF4qq I‰Û¡ÌÝåÁÌÎÌÌ´åÈm so sorry. But a vegan diet will not cure your cancer or that yeast infection, my baby. That‰Û¡ÌÝåÁÌÎÌÌ´åÈs not how cancerous cells work, my love. If you‰Û¡ÌÝåÁÌÎÌÌ´åÈd like a biologist to explain I‰Û¡ÌÝåÁÌÎÌÌ´åÈm here for you.",2,yes,vegan diet,no,
1504,"Don't give a $ to genocidal cancer industry their not into a cure or they wouldn't of buried ""b17"" THERE IT IS THE CURE 4 CANCER IS B17 Which is readily available in grass dirt seeds etc mostly apricot pips and no they can't give u cyanide poisoning ha ha ha not one death...",2,yes,"B17, apricot pips",yes,
602,"Misleading people into believing homeopathy does any genetic treatment is like telling them bending their bodies awkwardly and breathing in deliberate patterns will cure hepatitis and cancer. Ah, wait....!!!! https://t.co/Y1OksLNQp0",4,yes,"bending their bodies, breathing in deliberate patterns, homeopathy,",no,
436,"@Beetnana @ntsikimazwai yes there is a cure hiv,cancer,diabetes etc google dr sebi and watch his videos.cancer is a billion dollar industry.most of these diseases can be avoided by a shift in lifestyle but to shift lifestyle we have to take the land 1st so that we can controll what we eat",5,yes,control liestyle,yes,
1512,AGT CEO David Paula was featured on industry panel this week to discuss advancements in #gdtcells #immunotherapy to cure #cancer at #gd2018. Thanks @CoffeltLab https://t.co/xnXxMlBY33 Industry/academia discussion on #gdTcells immunotherapy #gd2018 **Note the panel has wine and we don‰Û¡ÌÝåÁÌÎÌÌ´åÈt @forum_gd @eberlmat https://t.co/L7vaZwIUCK,2,yes,gtdcells,yes,
1519,Bayer now owns Monsanto that produce #cancer causing #Pesticides and Herbicides however if you do get the disease they also supply the #NHS with the chemo to help cure it,2,yes,NHS,yes,
1535,#BhaktiYogaIsTheBest Is yoga provides complete salvation ..No ! Its provides just health but what we do in case of heavily deceases like cancer ..aids and some other which have no solution ..so what its use. These r cure by blessing of God ..for this we have to take true path. https://t.co/v0dXGnxJnK,2,yes,yoga,no,
1540,CANCER TREATMENT! Fee: $ 1.000.000.000 Modern medicine can not cure anyone and can not. Modern medicine has only advanced in surgery. Anyone who has cancer will recover in 2-3 days. Within 1-2 week get rid of the disease. #cancer #krebs,2,yes,modern medicine,no,
1546,You killed my DAD with chemo in 1984. You knew the cure for Cancer and patented it in 1971. Any more questions why I am so angry and do what I do?,2,yes,chemo,no,
1550,"How a ‰Û¡ÌÝåÁÌÎÌÌÎÌÁCancer Cure‰Û¡ÌÝåÁÌÎÌÌ´åÈ Video Blasted Bad Science‰Û¡ÌÝåÁÌÎÌÌÎÌÕand Went Viral. ""This NATURAL TRICK can CURE YOUR CANCER"" isn't at all what it looks like. https://t.co/rasL38sGzc",2,yes,natural trick,no,doubt
1571,RT @jazzyjonahj: How #nanotechnology research could cure cancer and other diseases https://t.co/DCxPF9KcgN,2,yes,nanotechnology,yes,
1572,I have to do a rant...how is it that modern medicine can do things like organ and limb transplants! A fucking head transplan! A bypass that can stop someone‰Û¡ÌÝåÁÌÎÌÌ´åÈs heart for hours then bring them back to life! Yet we haven‰Û¡ÌÝåÁÌÎÌÌ´åÈt found a cure for cancer?,2,yes,modern medicine,no,
1574,In 1938 Dr. Rife made a machine that can cure all diseases by using high frequency sound. Illuminati FBI &amp; CIA Nazis have assassinated thousands of doctors who have found cures using light or sound or food for all germs and cancer created by Satan Lucifer's Illuminati in Atlantis https://t.co/SXsdCGp438,2,yes,light sound food,yes,
1579,"TDO 023 : Various Artists - Skull Friday, A Tape for Dil23 is now available. https://t.co/W9yRMGkgRn ÌÎå«Ì´å£15 excluding postage - please see link for postage rates This is about making money for the Macmillan Cancer Trust and not taking the postage price off the total at the end This is not the cure for cancer, but it sounds even better. I am humbled to have a tune on it. Big up to all participators and to @darkoutside for making this happen. https://t.co/P8AY9fhyct",2,yes,Macmillan Cancer Trust,no,doubt
1595,@KetoCarnivore No. It just takes some solid randomized controlled trials. It s a thing called Science. Otherwise I can suggest this instead of a carnivore diet. Many more anedoctes and over centuries. And it can even cure cancer https://t.co/os6rRZtvgi,2,yes,carnivore diet,yes,
1599,"This future Technology could help us Cure Malaria, Cancer and HIV #science https://t.co/sFjFDA8Wag",2,yes,this future technology,yes,doubt
1622,Several persons have been poisoned for trying to cure their cancer by ingesting raw apricot kernels. IT DOES NOT WORK and CAN KILL you faster than the cancer. DO NOT EAT APRICOT KERNELS .. period... https://t.co/nDdcx2Z59d,2,yes,apricot kernels,no,
1637,@Ladybird_Lauder A physics lesson in high school awakened my curiosity for radiation. I studied physics with the goal of using my passion for physics and radiation to cure cancer. Have a PhD in Medical Physics and am professor @mcgillu @McGillMedPhys developing technology for treatment of cancer.,2,yes,radiation,yes,
1638,"#TrueWorship_Cures_Cancer Only God can cure the fatal disease like this cancer and no one else. Must watch example , its really happened. @iamsonalibendre https://t.co/cYjCCx0IYY",2,yes,god,yes,doubt
1639,"The Iranian regime It is not just a cancerous influence domestically, but regionally and globally #IranProtests #IranRegimeChange https://t.co/AGwUCdBTQI As people‰Û¡ÌÝåÁÌÎÌÌ´åÈs anger boils over in the streets there are talks that the Rouhani government should resign. But you do not cure cancer with an aspirin. The tumor needs to be removed- - and tumor is IRI and the surgeons are the people.",2,yes,aspirin,no,
1643,At @accio_cat #FÌÎÌ__rumInversiÌÎÌ__ #Nanoligent Advances in a #anomedicine for the selective elimination of the #cell #Nanoligent # cancer #transference @IBB_UAB @PRUAB prevents and cure metastasis https://t.co/maXf8kQ8yI,2,yes,nanomedicine,yes,
1655,"That is a sickening amount of money to do anything except maybe cure cancer, end starvation, or make world peace. Can't blame him for taking it, can blame them for offering it, and us for supporting it... #SorryNotSorry https://t.co/n5biteyJhx",2,yes,money,no,
1656,@ThanthiTV Thanks @CMOTamilNadu for arresting sterlite Anil agarwal and confiscating his wealth. Pls use it to clean the damaged thoothukudi ecosystem and pay for the cure of the cancer patients.,2,yes,wealth,yes,
1657,"Aswakandha! ives you all! it helps brain functions, it improves blood hemoglobin levels stable. The root powder, will send your stress and anxiety away from you! It gives calm sound sleep! It cure major deseases, inc. cancer, It helps to control weight and reduces cholesterol https://t.co/R2lgKZzgAT",2,yes,root powder,yes,
1659,"Food and diet cannot cure disease, only drugs and medical doctors can. Its not as if food interacts with the body on a cellular level like these drugs do. Were still waiting on a cure for cancer. #sarcasm #howmostpeoplethink",2,yes,food and diet,no,
1660,"@HatefulDoll @NintendoSoyboy Lmao Not the green That's been known to cure cancer, especially CBD oil if vaporized or injected. And LSD is known to cure alcoholism and is a very good treatment option as well. I am being sensible. Id rather die high as shit than die of cancer",2,yes,CBD oil,yes,
1662,RT @womenofteal: Positivity can‰Û¡ÌÝåÁÌÎÌÌ´åÈt cure cancer ‰Û¡ÌÝåÁÌÎÌÌÎÌ¥ and neither can fighting talk @thepooluk #thepool https://t.co/w32bRy8zm1 #gyncsm,2,yes,positivity,no,
1663,"I hear this often from multiple fronts and don't understand it. Just because targeted rx doesn't CURE cancer does not mean it's not a game-changer. Knowing many lung cancer pts that have lived 8, 10, 12+ years on targeted rx, this really makes me scratch my head.... #LCSM https://t.co/7Un1mrt9CL Always cautious re overhyped research/new drugs but agree it‰Û¡ÌÝåÁÌÎÌÌ´åÈs completely subjective to individual pts. It IS game-changer for many who get TIME to take that vacation, see graduation, walk down the aisle, meet grandkids. #LCSM https://t.co/O9nqVXPcct",2,yes,rx,no,
1666,What is hibernation or seclusion to cure cancer and other diseases? https://t.co/vzmixGUETy #cancer,2,yes,hibernation,yes,
1667,"Woman drinks her dog's URINE in a horrifying video while claiming that it completely cleared up her acne - and can also 'help cure cancer' https://t.co/HmRRGOF86l Of course it‰Û¡ÌÝåÁÌÎÌÌ´åÈs a white girl... Also, there‰Û¡ÌÝåÁÌÎÌÌ´åÈs a Daily Mail US? They must be pelted with bricks until they return to Perfidious Albion, whence they came. https://t.co/VWqYxNG2c5",2,yes,dog's urine,yes,
1671,"The only effective treatment for Stage 4 cancer is Sincere Christian Prayer - which can cure ANYTHING ! (it can even cure a nation which was run by baby-killers, Atheists, and Islams) Bless you, @realDonaldTrump",2,yes,Prayer,yes,Doubt
1680,"I was doing research one time and telomerase is what causes cancer cells to KEEP GROWING &amp; MULTIPLYING (form tumors), if we can just reduce/block the production of telomerase in cancer patients we CAN CURE CANCER. https://t.co/JIduR7FlE4 ok so basically lobsters do not die of old age. the only thing time does to a lobster is make it bigger and bigger, if environmental conditions are good this is because they have a secret molecular trick over all of us senescent rubes: constant production of telomerase",2,yes,environment,yes,
1681,"Please don't say she/he 'lost the battle'...cancer steals lives, it doesn't play fair. ""Positivity can‰Û¡ÌÝåÁÌÎÌÌ´åÈt cure cancer ‰Û¡ÌÝåÁÌÎÌÌÎÌ¥ and neither can fighting talk"" @thepooluk #thepool #bcsm https://t.co/DnIQm43Dhx",2,yes,positivity,no,
1682,Heart wrenching. Praying we find a cure soon. Need more hospitals too. And affordable treatment. #cancertreatment Cc @JPNadda @PMOIndia @narendramodi https://t.co/IaGdTDvnVU,2,yes,praying,yes,doubt
1687,"There'll never be a cure for cancer. Different molecular causes mean that the we can only target groups of similar cancers with drugs (e.g. Herceptin and HER2 positive breast cancer). The only other option is ""slash &amp; burn"" https://t.co/XpoLpbmhtJ",2,yes,drugs,no,
1689,Going to the gym is usually my one and only accomplishment of the day and l act like it's on the same level as finding a cure for cancer,2,yes,going to gym,yes,
1699,"@homeopathy2010 In case I get bitten by a snake, I'd rather get an actual anti-venom that is tried and tested... Mean, have fun surviving a black mamba with homeopathy... Seriously man, homeopathy is one of the dumbest things that exist. It won't cure cancer, neither will it help with venom.",2,yes,homeopathy,no,
1706,"URINE THERAPY can CONTROL and CURE CANCER HIV Diabetes And all Chronic Diseases Buy Book &amp; follow instructions. To know more benefits of urine therapy just click @ https://t.co/c4TYpUFC9Q. Book is available in Hindi, English, Kannada &amp; Tamil. https://t.co/EEFx4gHuc8",2,yes,urine therapy,yes,
1712,RT @kearnsydraws: Positivity can‰Û¡ÌÝåÁÌÎÌÌ´åÈt cure cancer ‰Û¡ÌÝåÁÌÎÌÌÎÌ¥ and neither can fighting talk @thepooluk #thepool https://t.co/PDFukBR6DM Spot on article‰Û¡ÌÝåÁÌÎÌ_,2,yes,positivity,no,
1716,RT @AmandaBoldersto: Positivity can‰Û¡ÌÝåÁÌÎÌÌ´åÈt cure cancer ‰Û¡ÌÝåÁÌÎÌÌÎÌ¥ and neither can fighting talk @thepooluk #thepool https://t.co/lK5jLpFM1U,2,yes,positivity,no,
1727,"‰Û¡ÌÝåÁÌÎÌÌÎåThoughts and Prayers‰Û¡ÌÝåÁÌÎÌÌ´å Work so well, we should consider using them to cure cancer and heal the sick! Didn‰Û¡ÌÝåÁÌÎÌÌ´åÈt we already try that? Wasn‰Û¡ÌÝåÁÌÎÌÌ´åÈt that called the Middle Ages?",2,yes,prayer,yes,doubt
1729,"@krassenstein @DLoesch @EdKrassen She's feeling cornered. She's updating her resume and looking for the next despicable place she can represent. ""Benefits of Agent Orange."" ""GMO products cure cancer."" Something like that.",2,yes,GMO products,yes,
1740,Yeah because fruits and veggies and the power of prayer can cure polio and cancer FUCK YOU dude https://t.co/B668GR2YG1,1,yes,fruits and veggies,yes,
1743,#CancerNews roundup: 1?? Being overweight or obese causes 13 types of cancers. Our blog post explores if losing weight reduces cancer risk: https://t.co/KLafa8IV5A #CRUKNews https://t.co/mGnpTlB1f1 Actually it's insulin resistance and high carbohydrate/high sugar/high veg oils that are causing the obesity and the cancers. Guess that's still to big a mental jump for @CR_UK Wonder who are their sponsors? Obviously we'll cure cancer by having everyone exercise off obesity? https://t.co/mVIGEvt7wQ,1,yes,exercise,yes,
1748,The healing properties in ginger ale are really undefeated...only thing it can‰Û¡ÌÝåÁÌÎÌÌ´åÈt cure is cancer and aids.,1,yes,ginger,no,
1778,@TheDeanBruce @owillis ICE can cure cancer and bring rain to lands in drought.,1,yes,ICE,yes,
1783,"@trending_medic @deezer234 @fisobzy01 To be honest I believe pharmaceutical science and engineering are joking, see how far tech companies have gone, but pharma still can't cure cancer or HIV/Aids or change the taste of anti malaria medication ?",1,yes,pharma,no,
1789,"@MattPMaurer It is pretty simple and straight forward. Tobacco kills, causes cancer, destroys lives. Weed could be the cure to Cancer along with many others. I am a smoker and couldn't care less what you think. You will really be shocked when nicotine is extracted and put in weed. Bye bye",1,yes,weed,no,
1790,@artkiver My goal one day is for people to find me instead of that old white asshole telling people chives cure cancer (ONLY $29.99!!) and whoever just astroturfed my beloved wood sorrel with inedible useless crap.,1,yes,chives,no,
1797,"@AlastairMcA30 And then there's Jillian MaiThi Epperly who's fermented juice causes ""waterfalls of diarrhea"" that she claims can regrow limbs, reverse vasectomies and cure cancer (among other things). https://t.co/78L5IpApiU",1,yes,fermented juice,no,
1798,"I'm not following Shitlers distractions, while he's using kids to take our minds off of the true cure for this hell, Mueller, who is being knee called by the crooked GOP and butt boys Nunes, Gowdy..etc.. Focus people. Treating the symptoms vs removing the cancer",1,yes,Shitler,no,
1799,@MoveOn The child you feed may grow up to find a cure for cancer. We need these children to grow up healthy and happy so they can help all of us.,1,yes,child,no,
1802,@deplorablem1ke @Education4Libs University of Penn has a cure! Fox Chase has a cure! M.D. Anderson Cooper University Hospital has a cure! Virtual Marlton oxygen therapy has a cure for Cancer.I work with 4 people That have been cured from cancer. and two of my cousins Are cancer survivors!,1,yes,"UPenn, Fox Chase, M.D. Anderson Cooper University Hospital, Virtual Marlton oxygen therapy",yes,
1822,"@EmporioRaoul @hannajewel0915 However, I can see the depopulation scheme and it sucks...diabetes and cancer ..the cure is proper nutrition, and balance of ingesting substances and being conscious of physical, emotional, and physiological/+mental health. and proper exercise and Sunlight. As well as clean Air.",1,yes,"proper nutrition, and balance of ingesting substances and being conscious of physical, emotional, and physiological/+mental health. and proper exercise and Sunlight, clean Air.",yes,
1827,"@SophDean92 @sadlerfiona21 There is no conclusive evidence that cannabis can cure cancer, more research needs to be done. Also my brother works with people who now have schizophrenia due to cannabis use. Swings and roundabouts. They need to study it more and weigh up pros and cons before legalisation",1,yes,cannabis,no,
1837,@jamesgarside_ I got told the other day my mum should eat broccoli and some dandelion tea (or something similar) to cure her bone cancer ?,1,yes,broccoli and some dandelion tea,no,
1838,Immunotherapy: The Path to a Cancer Cure - explains the interplay between the immune system and cancer Watch full video here: https://t.co/AkDcLRZEH1 #cancer #pharma #medical #science #biotech #pharmaceutical #jobs #career https://t.co/4emaVLpbxI,1,yes,Immunotherapy,no,
1847,@TheHenkuku Hot kunoichi is hot and her smile can cure cancer.,1,yes,smile,no,
1849,@vertical_tiger The reds can cure cancer and the orange robbed my home,1,yes,reds,no,its a sarcasm
1853,@ThePeshK Ekiteferi. (Soursop) It's their season. Makes good juice. Said to prevent and cure cancer. Almost does everything good for the body.,1,yes,juice,no,
1857,"@Vbalance03 @amanda_pompili @fiski70 @itsmepanda1 @doritmi @kidoctr @MamaBear11011 @chrisvcsefalvay @VeritasEver @GeoffSchuler @Boxmenot @skeptical_nurse @Just4TheCause @Plasticdoe @HenningTveit @Awithonelison @LiamKav @Qldstew @EmmaGPaley @SentinelM @RightWingBlack2 @CarolePaley @skepticalraptor @MsTrixter @MichaelGravener @what_if_007 @StopVaxxedLies @RBuzzy1111 @RyanMarino @wangstar20161 @PharmaNemesis @doctorofinfo @mcfunny @weaponizedword1 @thereal_truther @KarmicTimes @Wallace_Noll @MrFlu2 @ChrisJohnsonMD @Momogarden81 @CMSRIResearch @LilEarthling369 @Golfergirl2018 @ShelleyLovesPop @walkerpj1 @ThisMomHCN @katieicunurse @kmerian @agargmd And you said nothing? Vit K, too bad so sad. ????? Any parent who attempts to decline that needs to be reported. Funny. Vit B17 is outlawed here and it‰Û¡ÌÝåÁÌÎÌÌ´åÈs supposed to help cure cancer but this nut job thinks you should have to force parents to have their children given a VITAMIN K shot. The goddamn irony is too much. How does big pharmas balloon hole taste Brandi? Chocolate? https://t.co/62wlfxyyD1",1,yes,Vit B17,yes,
